名称,地址,星级,区（县）,电话
鸿基世业商务酒店,志新东路5号,二星,海淀区,62321188
西翠宾馆,万寿路2号西翠宾馆,二星,海淀区,51823197
北体培训中心宾馆,信息路48号,二星,海淀区,62989510
北外宾馆,西三环北路19号,二星,海淀区,88812255
鑫宇宾馆,复兴路63号,二星,海淀区,88015544
梅苑饭店,高粱桥斜街甲30号,二星,海淀区,62241115
玉都饭店,北洼路85号,二星,海淀区,68428882
北体宾馆,体育大学校内,二星,海淀区,62989115
文物局培训中心,苏家坨镇大觉寺路9号,二星,海淀区,62456163
东风宾馆,西局南街甲一号,二星,丰台区,63834466
龙源宾馆,菜户营东街甲34号,二星,丰台区,51760808
京华饭店,西罗园南里68号,二星,丰台区,87812211
京西南宫宾馆,云岗镇南宫市场北侧,二星,丰台区,83310009
邦泰宾馆,西局西街300号,二星,丰台区,51129968
海兴大酒店,永外大红门海户屯166号,二星,丰台区,87819955
鞍钢玉蜓宾馆,蒲黄榆2里11号楼,二星,丰台区,51029000
长征宾馆,南大红门路一号,二星,丰台区,68380138
鼎馨缘大酒店,丰北路73号,二星,丰台区,63850088
红楼迎宾馆,首钢厂内,二星,石景山,88293435
中科院高能所专家招待所,玉泉路19号乙,二星,石景山,88233018
红旗宾馆,新华南路21号,二星,通州区,69545536
裕龙花园大酒店,裕龙花园二区甲九号,二星,顺义区,69445678
太申祥和山庄,回龙观镇北清路5号,二星,昌平区,80719998
国寿酒店,城区镇鼓楼南大街15号,二星,昌平区,69746346
芳草渔村,马池口镇宏道村,二星,昌平区,60771010
胜利穆斯林文化园,阳坊镇中心街西侧,二星,昌平区,69768782
明皇渡假山庄,长陵镇老君堂西沟,二星,昌平区,60761030
鲜果乐园度假山庄,十三陵镇泰陵园村西,二星,昌平区,89761877
英达生态园,小汤山镇阿苏卫,二星,昌平区,61793333
天一方宾馆,城北街道西关环岛东侧,二星,昌平区,80101717
和泰利恒商务酒店,龙水路12号,二星,昌平区,60712099
金橙商务酒店,城南街道政府街西路11号院,二星,昌平区,69728088
东方世纪骑士度假村,北臧村镇纬四路,二星,大兴区,60271188
五龙豪苑大酒店,良乡镇纸房村,二星,房山区,69366666
燕化宾馆,燕山迎风中路4号,二星,房山区,69348888
青年恒通酒店,良乡拱辰街道昊天大街,二星,房山区,51138887
晚安快捷酒店,良乡拱辰北大街甲33号,二星,房山区,81311188
普渡山庄,十渡镇西河村,二星,房山区,61347088
山光宾馆,十渡镇八渡村,二星,房山区,61340762
福源宾馆,阎村镇肖庄村良乡凯旋大街,二星,房山区,80333212
原子能院宾馆,新镇一号楼,二星,房山区,69357360
天龙山庄,蒲洼乡蒲洼村黄土岭,二星,房山区,61371400
天毓山庄,周口店镇辛庄村,二星,房山区,69305077
韩村河山庄,韩村河镇韩村河村,二星,房山区,80380080
青年假日酒店,拱辰大街长虹东路29号,二星,房山区,69382226
泉水河会议中心,长沟镇玉簌大街69号,二星,房山区,61366322
望佛台山庄,十渡镇八渡村,二星,房山区,61340752
福源蕙业酒店,阎村镇大十三里村南,二星,房山区,80332055
信城宾馆,张坊镇张坊村,二星,房山区,61330756
国达酒店,张坊镇片上村,二星,房山区,61331680
灵山避暑山庄,清水镇江水河村,二星,门头沟,61827933
百花山宾馆,清水镇百花山自然保护区内,二星,门头沟,61826110
广电培训中心招待所,斋堂镇西斋堂村东,二星,门头沟,69816713
京西旅游培训中心,清水镇江水河村,二星,门头沟,61827976
琨樱谷山庄,王平镇瓜草地村,二星,门头沟,61858898
山水依缘度假村,妙峰山镇丁家滩村西南800米,二星,门头沟,61881166
星美酒店,杨宋镇凤翔二园1号,二星,怀柔区,61677775
冠军苑宾馆,府前西街甲三号,二星,怀柔区,69626970
香花村海鲜楼,怀柔镇大中富乐村富乐大街,二星,怀柔区,89685806
鹅和鸭农庄,桥梓镇北宅村南,二星,怀柔区,60673136
森腾生态种植园,庙城镇西台下村甲1号,二星,怀柔区,89693966
财政招待所,南大街26号,二星,怀柔区,69642227
怀铁金桥宾馆,桥梓镇茶坞火车站北100米,二星,怀柔区,51048011
大明星度假村,渤海镇工业园区,二星,怀柔区,61631188
望怀华庭酒店,南环东路东侧100米,二星,怀柔区,69628899
朝瑜山庄,西三村,二星,怀柔区,60682918
兴云鑫座宾馆,兴谷工业开发区南街29号,二星,平谷区,69975060
雨燕酒店,市平谷区新平北路33号,二星,平谷区,89988505
雨萱山庄,镇罗营镇上镇村南街1号,二星,平谷区,61969998
读月山庄,金海湖镇海子村,二星,平谷区,69996898
京水灵岫花园培训中心,新城子镇遥桥峪水库,二星,密云县,81021905
京都第一瀑度假村,石城镇柳棵峪村,二星,密云县,69013288
密云燕山大酒店,新中街38号,二星,密云县,69040010
京都盛泉度假山庄,石城镇京都第一瀑门口,二星,密云县,69017899
密云绿化基地,石城镇核桃峪村,二星,密云县,61025618
军都山酒家,八达岭镇西拨子村,二星,延庆县,69120346
仁智苑酒店,县东街27号,二星,延庆县,69149417
新风大酒店,延庆镇东外大街102号,二星,延庆县,69148618
燕春饭店,东街35号,二星,延庆县,69101719
华远宾馆,东外大街甲80号,二星,延庆县,69104024
玉都山庄宾馆,旧县镇龙庆峡管理处院内,二星,延庆县,69191057
育新宾馆,延庆镇香苑街10号,二星,延庆县,69189462
长城商务酒店,东外大街72号,二星,延庆县,51050666
四时春饭店,张山营镇韩郝庄北,二星,延庆县,69193488
妫川金谷大酒店,延庆镇湖北西路5号,二星,延庆县,69185551
甜水园捌陆客栈,水碓子北里8号楼,一星,朝阳区,51398686
运7酒店,良乡拱辰大街12号,一星,房山区,69373737
隆港宾馆,良乡南关917车站对面,一星,房山区,69385686
金马台山庄,十渡镇五渡村,一星,房山区,61344713
红螺山度假村,红螺东路2号,一星,怀柔区,60681595
龙峡饭店,怀北镇青龙峡景区,一星,怀柔区,89696391
平和谷凯越酒店,平谷镇文化北街4号,一星,平谷区,69962379
桃源仙谷度假山庄,石城镇南石城村,一星,密云县,61025529
众德食府,东门外行宫街2号,一星,密云县,69058011
月亮湖度假山庄,新城子镇曹家路民俗村东,一星,密云县,81021528
