工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
奥林匹克公园瞭望塔,北京世奥森林公园开发经营有限公司,北京建工集团有限责任公司,0626朝竣2016(建)0112号,朝阳区住房城乡建设委,2016/8/5
雷杰思北京招商局大厦7层办公室内装修工程,雷杰思商务服务（北京）有限公司,北京建磊国际装饰工程股份有限公司,0119朝竣2016(装)0111号,朝阳区住房城乡建设委,2016/8/5
1#工业厂房等5项（北京天利德机电设备有限公司厂房工程）,北京天利德机电设备有限公司,中建一局集团建设发展有限公司,0625朝竣2016(建)0110号,朝阳区住房城乡建设委,2016/8/5
厂房一等16项（工业厂房及附属设施--金发企业园项目）,北京金创发达投资有限公司,北京城乡一建设工程有限责任公司,0624通竣2016(建)0072号,通州区住房城乡建设委,2016/8/5
C-47号住宅等20项、C-27号住宅等20项,北京西海龙湖置业有限公司,北京城建北方建设有限责任公司,0623丰竣2016(建)0047号,丰台区住房城乡建设委,2016/8/5
C-15号住宅等11项、C-67号住宅等12项,北京西海龙湖置业有限公司,北京城建北方建设有限责任公司,0622丰竣2016(建)0046号,丰台区住房城乡建设委,2016/8/5
长辛店镇北部居住区（一期）长辛店北六路、北九路、北十六路大市政工程,北京万年长兴置业有限责任公司,北京华诚兴业市政工程有限公司,0159丰竣2016(市政)0045号,丰台区住房城乡建设委,2016/8/4
长辛店镇北部居住区（一期）长辛店北六路、北九路、北十六路大市政工程,北京万年长兴置业有限责任公司,北京华诚兴业市政工程有限公司,0158丰竣2016(市政)0044号,丰台区住房城乡建设委,2016/8/4
北京农商银行经济技术开发区支行装修项目施工  ,北京农村商业银行股份有限公司,北京六建集团有限责任公司,0118经竣2016(装)0067号,经济技术开发区建设局,2016/8/3
7#住宅楼等8项（平谷区马坊镇B09-01、B10-01地块居住项目）,北京首城置业有限公司,北京住总第六开发建设有限公司,0621平竣2016(建)0011号,平谷区住房城乡建设委,2016/8/3
1#定向安置房住宅楼等6项（北京开关厂定向安置房项目）,北京建机房地产有限责任公司,北京城建亚泰建设集团有限公司,0620丰竣2016(建)0043号,丰台区住房城乡建设委,2016/8/2
X06-3#住宅楼等6项（昌平区沙河镇C-X06、C-X07、C-X10地块二类居住、公建混合住宅、托幼用地项目（配建人才公共租赁住房））,北京锦昊万华置业有限公司,北京城建北方建设有限责任公司,0619昌竣2016(建)0060号,昌平区住房城乡建设委,2016/8/2
